metodo,modelo_embedding,index_time,search_time,total_time,num_rows_df1,num_rows_df2,k,mem_used_indexation_MB,avg_mem_used_search_MB,matches
baseline,sentence-transformers/all-mpnet-base-v2,0.05355715751647949,35.540428438186645,35.593985595703124,100000,10000,2,292.9453125,0.0,7353
svs,sentence-transformers/all-mpnet-base-v2,10.079871892929077,0.026818666458129883,10.106690559387207,100000,10000,2,112.51171875,0.1212890625,5081
NMSLIB,sentence-transformers/all-mpnet-base-v2,65.65722513198853,1.0041886639595032,66.66141379594802,100000,10000,2,331.4609375,-0.004765625,7252
baseline,sentence-transformers/all-mpnet-base-v2,0.05406022071838379,35.55007325172424,35.604133472442626,100000,10000,3,292.9453125,0.0,7621
svs,sentence-transformers/all-mpnet-base-v2,10.069040298461914,0.03053607225418091,10.099576370716095,100000,10000,3,110.375,0.1576953125,5721
NMSLIB,sentence-transformers/all-mpnet-base-v2,65.63787961006165,1.0055499935150147,66.64342960357666,100000,10000,3,331.453125,0.0003125,7504
baseline,sentence-transformers/all-mpnet-base-v2,0.0552980899810791,35.48607540607453,35.541373496055606,100000,10000,4,292.9453125,0.0,7819
svs,sentence-transformers/all-mpnet-base-v2,10.133116960525513,0.03417068958282471,10.167287650108337,100000,10000,4,73.64453125,0.1275390625,6130
NMSLIB,sentence-transformers/all-mpnet-base-v2,65.6780993938446,1.0054704713821412,66.68356986522674,100000,10000,4,332.09765625,0.0068359375,7692
baseline,intfloat/multilingual-e5-large,0.08660030364990234,46.99097507238388,47.077575376033785,100000,10000,1,349.7578125,0.0,9992
svs,intfloat/multilingual-e5-large,17.89629364013672,0.025195927619934083,17.92148956775665,100000,10000,1,-384.08203125,0.00125,5884
NMSLIB,intfloat/multilingual-e5-large,185.88299584388733,2.708824360370636,188.59182020425797,100000,10000,1,520.8984375,0.4205078125,9986
baseline,intfloat/multilingual-e5-large,0.07552552223205566,47.11845068931579,47.19397621154785,100000,10000,2,390.51171875,0.0,9997
svs,intfloat/multilingual-e5-large,17.71380352973938,0.03223100185394287,17.746034531593324,100000,10000,2,43.3671875,0.2703125,8007
NMSLIB,intfloat/multilingual-e5-large,185.81045842170715,2.698152244091034,188.5086106657982,100000,10000,2,515.79296875,0.00765625,9990
baseline,intfloat/multilingual-e5-large,0.0697469711303711,47.099960601329805,47.169707572460176,100000,10000,3,390.5078125,0.0,9997
svs,intfloat/multilingual-e5-large,17.68968892097473,0.03754834651947021,17.727237267494203,100000,10000,3,-131.64453125,0.385,8807
NMSLIB,intfloat/multilingual-e5-large,186.2209231853485,2.712631230354309,188.93355441570282,100000,10000,3,496.80078125,0.363125,9990
baseline,intfloat/multilingual-e5-large,0.0713200569152832,47.11904273986816,47.19036279678345,100000,10000,4,390.484375,0.0,9997
svs,intfloat/multilingual-e5-large,17.810158729553223,0.04196824550628662,17.85212697505951,100000,10000,4,-163.80078125,0.6258203125,9200
NMSLIB,intfloat/multilingual-e5-large,186.27987360954285,2.6977603530883787,188.97763396263122,100000,10000,4,497.2265625,0.00296875,9992
baseline,neuralmind/bert-large-portuguese-cased,0.06727218627929688,47.000119287967685,47.06739147424698,100000,10000,1,390.5078125,0.0,6189
svs,neuralmind/bert-large-portuguese-cased,11.848332166671753,0.026102359294891356,11.874434525966644,100000,10000,1,135.01953125,0.18875,3317
NMSLIB,neuralmind/bert-large-portuguese-cased,88.1131021976471,1.3198041033744812,89.43290630102157,100000,10000,1,471.78125,0.236796875,6096
